Rep,Treat,SPP,Clone,Row,Col,ID #,1997_Height,1997_Diam,1998_Height,1998_Diam,1999_Height,1999_Diam,2000_Height,2000_Diam,2001_Height,2001_Diam@3cm,2001_Diam@10cm,2002_Height,2002_Diam,2003_Height,2003_Diam@10cm,2003_DBH,2004_Height,2004_Diam@10cm,2004_DBH,2005_Height,2005_Diam@10cm,2005_DBH,2006_Height,2006_DBH,2007_Height,2007_DBH,2008_Height,2008_DBH,Notes,Comment1,Comment2,Comment3
1,1,B,B,N,6,4380,44.5,0.52,114,1.628,177,3.14,209,3.88,265,4.5,4.4,335,4.39,373,4.52,2.51,395,4.50,2.62,419,4.60,2.81,454,2.9,484,3.04,491,3.15,02: bent by scaffold,,,
1,1,A,216,O,6,4394,17,0.26,12,0.304,,,,,,,,,,,,,,,,,,,,,,,,,97: Dead  ,,,
1,1,B,B,O,7,4395,13,0.28,33,0.623,76,1.33,120,1.99,141,2.1,2.3,170,2.16,181,2.29,,195,2.30,,201,2.30,0.59,203,0.6,202,0.60,200,0.6,,,,
1,1,A,216,O,8,4396,13,0.22,97,0.768,142,1.6,172,1.87,205,2.1,2,243,1.97,243,2.10,1.16,250,2.1,1.16,252,2.1,1.10,,,,,,,06:dead  ,,,
1,1,B,B,O,9,4397,18,0.32,95,1.491,137,2.47,214,3.22,282,3.6,3.5,362,3.50,413,3.79,2.21,465,4.00,2.38,506,4.10,2.54,532,2.65,583,2.98,634,3.01,,,,
1,1,A,216,O,10,4398,47,0.71,150,2.376,230,4.4,258,4.80,357,5,4.7,441,4.93,518,5.25,3.51,540,5.4,3.81,590,5.6,3.97,595,4.15,622,4.33,686,4.39,,,,
1,1,B,B,O,11,4399,42,0.45,190,1.984,340,3.99,452,4.77,504,5.5,5.1,552,5.67,609,5.89,3.83,640,6.30,4.12,731,6.50,4.42,748,4.83,868,5.55,914,6.03,06:SA ,,,
1,1,A,216,O,12,4400,73,0.77,234,2.479,301,4.73,319,4.60,402,5.2,4.8,439,5.32,490,5.54,4.18,505,5.8,4.37,563,6.9,4.49,594,4.6,615,4.85,677,4.87,06:SA ,,,
1,1,B,B,O,13,4401,11,0.26,9,0.431,,,,,,,,,,,,,,,,,,,,,,,,,99: Dead,,,
1,1,A,216,O,14,4402,48,0.56,174,2.004,214,2.94,267,3.67,325,4,3.8,372,4.07,419,4.20,2.97,420,4.3,3.12,421,4.4,3.08,,,,,,,04: Top broken 06:dead,,,
1,1,B,B,P,14,4415,24,0.28,125,1.212,212,2.32,274,3.07,328,3.4,3.2,390,3.47,430,3.60,2.04,560,3.7,2.16,413,3.4,2.24,420,2.25,437,2.33,444,2.32,,,,
1,1,A,216,P,13,4414,43,0.5,215,1.834,263,3.13,323,3.59,463,4,3.9,653,4.36,593,4.65,3.8,735,4.7,4,733,5.1,4.19,823,4.4,860,4.70,946,4.95,03: Measured twice,,,
