"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"1419","3","1","271","","19","L","2985",37,0.44,93,0.87,987,7.25,986.13,6.38
"1420","3","1","216","E216","18","L","2984",35,0.45,72,0.71,1105,6.43,1104.29,5.72
"1421","3","1","216","","17","L","2983",23,0.29,55,0.78,1098,7.02,1097.22,6.24
"1422","3","1","216","","16","L","2982",22,0.35,81,0.8,647,4.22,646.2,3.42
"1423","3","1","42E","","15","L","2981",18,0.18,30,0.33,1013,7.08,1012.67,6.75
"1425","3","1","271","","16","M","2997",48,0.45,94,0.88,1049,8.09,1048.12,7.21
"1426","3","1","216","E216","17","M","2998",29,0.28,73,0.61,1021,7.35,1020.39,6.74
"1429","3","1","271","E271","20","M","3001",28,0.49,82,0.89,768,6.4,767.11,5.51
"1430","3","1","271","E271","21","M","3002",28,0.45,77,0.7,1057,7.35,1056.3,6.65
"1433","3","1","8L","","23","N","3018",25,0.26,24,0.29,990,5.84,989.71,5.55
"1435","3","1","271","E271","21","N","3016",36,0.53,85,0.95,1003,7.46,1002.05,6.51
"1436","3","1","271","E271","20","N","3015",27,0.24,78,0.86,946,6.95,945.14,6.09
"1439","3","1","216","E216","17","N","3012",23,0.39,67,0.69,549,3.65,548.31,2.96
"1440","3","1","271","","16","N","3011",39,0.39,93,0.77,938,6.86,937.23,6.09
"1443","3","1","271","E271","16","O","3025",32,0.51,80,0.95,1133,8.43,1132.05,7.48
"1444","3","1","42E","","17","O","3026",24,0.25,28,0.36,711,5.03,710.64,4.67
"1446","3","1","42E","","19","O","3028",38,0.45,44,0.67,923,7.15,922.33,6.48
"1447","3","1","42E","","20","O","3029",35,0.43,58,0.77,934,8.93,933.23,8.16
"1448","3","1","271","E271","21","O","3030",19,0.28,63,0.79,614,5.42,613.21,4.63
"1449","3","1","271","E271","22","O","3031",21,0.38,48,0.63,874,5.85,873.37,5.22
"1451","3","1","216","E216","23","P","3046",17,0.23,36,0.56,372,1.53,371.44,0.97
"1452","3","1","271","E271","22","P","3045",33,0.49,81,0.9,1037,8.03,1036.1,7.13
"1453","3","1","271","E271","21","P","3044",27,0.47,63,0.71,1085,8.6,1084.29,7.89
"1455","3","1","42E","","19","P","3042",27,0.37,54,0.63,1225,9.52,1224.37,8.89
"1456","3","1","271","E271","18","P","3041",41,0.46,80,0.85,1087,7.25,1086.15,6.4
"1457","3","1","42E","","17","P","3040",30,0.35,41,0.52,1083,7.5,1082.48,6.98
"1458","3","1","271","E271","16","P","3039",34,0.38,87,0.88,1118,8.07,1117.12,7.19
"1460","3","1","271","","15","Q","3052",36,0.41,65,0.8,1013,6.03,1012.2,5.23
"1461","3","1","271","E271","16","Q","3053",27,0.4,85,0.97,1213,9,1212.03,8.03
"1462","3","1","216","","17","Q","3054",24,0.29,70,0.75,1030,4.9,1029.25,4.15
"1467","3","1","259","","22","Q","3059",29,0.34,54,0.71,569,3.85,568.29,3.14
"1473","3","1","8L","","18","R","3069",22,0.24,22,0.56,471,2.5,470.44,1.94
"1474","3","1","216","","17","R","3068",34,0.58,42,0.65,949,5.45,948.35,4.8
"1475","3","1","271","E271","16","R","3067",44,0.46,96,0.94,1106,8.1,1105.06,7.16
"1476","3","1","271","","15","R","3066",41,0.51,75,1.04,1025,7.12,1023.96,6.08
"1477","3","1","271","","15","S","3079",43,0.48,86,0.96,1104,9.11,1103.04,8.15
"1478","3","1","271","","16","S","3080",45,0.49,91,0.83,785,5.2,784.17,4.37
"1479","3","1","216","E216","17","S","3081",18,0.34,28,0.69,923,5.12,922.31,4.43
"1481","3","1","216","E216","19","S","3083",19,0.27,39,0.51,709,6.27,708.49,5.76
"1483","3","1","216","","21","S","3085",46,0.62,45,0.75,1084,6.9,1083.25,6.15
"1486","3","1","216","E216","19","T","3096",27,0.45,44,0.83,1171,8.21,1170.17,7.38
"1487","3","1","42E","","18","T","3095",24,0.3,30,0.47,814,5.73,813.53,5.26
"1488","3","1","216","E216","17","T","3094",27,0.38,57,0.72,930,5.58,929.28,4.86
"1489","3","1","271","","16","T","3093",33,0.43,67,0.79,1066,9,1065.21,8.21
"1490","3","1","271","","15","T","3092",30,0.31,64,0.73,1115,8.35,1114.27,7.62
"1491","3","1","42E","","15","U","3104",29,0.28,12,0.33,1114,7.39,1113.67,7.06
"1494","3","2","271","E271","18","B","3195",33,0.4,77,0.83,1202,9.71,1201.17,8.88
"1497","3","2","8L","","15","B","3192",41,0.35,51,0.64,1456,15.42,1455.36,14.78
"1500","3","2","271","E271","17","C","3206",26,0.3,50,0.64,1202,7.99,1201.36,7.35
"1501","3","2","271","E271","18","C","3207",34,0.36,68,0.79,1198,8.42,1197.21,7.63
"1502","3","2","8L","","19","C","3208",51,0.58,50,0.72,990,7.97,989.28,7.25
"1505","3","2","271","","22","D","3223",41,0.36,77,0.8,1166,8.93,1165.2,8.13
"1506","3","2","216","E216","21","D","3222",25,0.36,25,0.6,616,3.72,615.4,3.12
