"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"1784","3","3","271","","22","P","3745",42,0.47,84,0.73,867,5.7,866.27,4.97
"1792","3","3","8L","","15","Q","3752",40,0.55,66,0.92,1127,9.12,1126.08,8.2
"1794","3","3","271","","17","Q","3754",32,0.35,64,0.74,1083,7.1,1082.26,6.36
"1797","3","3","8L","","20","Q","3757",21,0.25,23,0.32,410,2.2,409.68,1.88
"1798","3","3","8L","","21","Q","3758",24,0.25,23,0.28,284,2.49,283.72,2.21
"1802","3","3","8L","","21","R","3772",32,0.31,87,0.82,1000,10.41,999.18,9.59
"1804","3","3","216","","19","R","3770",22,0.42,66,0.8,667,5.15,666.2,4.35
"1805","3","3","8L","","18","R","3769",19,0.26,20,0.39,653,4.4,652.61,4.01
"1806","3","3","271","","17","R","3768",31,0.3,81,0.8,953,6.9,952.2,6.1
"1808","3","3","8L","","15","R","3766",19,0.24,29,0.35,473,2.5,472.65,2.15
"1809","3","3","42E","","15","S","3779",17,0.29,30,0.71,699,3.6,698.29,2.89
"1811","3","3","42E","","17","S","3781",34,0.35,79,0.78,1198,10.4,1197.22,9.62
"1812","3","3","8L","","18","S","3782",29,0.37,71,0.79,1010,7.6,1009.21,6.81
"1815","3","3","42E","","21","S","3785",27,0.31,72,0.67,548,6.21,547.33,5.54
"1816","3","3","216","","22","S","3786",32,0.46,84,0.85,908,6.59,907.15,5.74
"1820","3","3","42E","","17","T","3794",18,0.29,31,0.47,634,4,633.53,3.53
"1823","3","3","216","","15","U","3804",20,0.29,55,0.64,853,5.98,852.36,5.34
"1826","3","4","216","","18","B","3895",35,0.37,36,0.65,861,5.88,860.35,5.23
"1827","3","4","259","","17","B","3894",28,0.43,49,0.77,415,3.04,414.23,2.27
"1831","3","4","259","","16","C","3905",16,0.21,33,0.68,433,3.26,432.32,2.58
"1832","3","4","42E","","17","C","3906",29,0.29,50,0.56,1069,7.91,1068.44,7.35
"1833","3","4","216","","18","C","3907",32,0.36,65,0.71,1169,7.81,1168.29,7.1
"1834","3","4","8L","","19","C","3908",39,0.36,64,0.7,994,7.32,993.3,6.62
"1836","3","4","8L","","21","C","3910",45,0.56,46,0.74,1108,8.58,1107.26,7.84
"1838","3","4","8L","","21","D","3922",51,0.56,50,0.84,1061,7.06,1060.16,6.22
"1839","3","4","216","","20","D","3921",52,0.42,91,0.84,1103,6.3,1102.16,5.46
"1840","3","4","8L","","19","D","3920",43,0.41,65,0.81,1110,8.9,1109.19,8.09
"1841","3","4","216","","18","D","3919",23,0.31,58,0.71,981,7.1,980.29,6.39
"1842","3","4","42E","","17","D","3918",44,0.36,46,0.47,386,2.07,385.53,1.6
"1843","3","4","259","","16","D","3917",31,0.46,57,0.8,578,4.45,577.2,3.65
"1847","3","4","259","","17","E","3931",25,0.33,54,0.77,426,3.06,425.23,2.29
"1848","3","4","216","","18","E","3932",30,0.28,47,0.79,855,5.61,854.21,4.82
"1849","3","4","216","","19","E","3933",27,0.4,62,0.85,1204,9.07,1203.15,8.22
"1850","3","4","271","","20","E","3934",43,0.36,69,0.81,1019,5.78,1018.19,4.97
"1851","3","4","216","","21","E","3935",55,0.5,91,0.87,1152,8.48,1151.13,7.61
"1852","3","4","271","","22","E","3936",41,0.36,75,0.72,1192,7.24,1191.28,6.52
"1853","3","4","271","","23","E","3937",39,0.38,95,0.72,1143,7.33,1142.28,6.61
"1855","3","4","271","","22","F","3950",30,0.3,60,0.61,1071,5.78,1070.39,5.17
"1856","3","4","216","","21","F","3949",24,0.33,45,0.64,1030,6.41,1029.36,5.77
"1857","3","4","271","","20","F","3948",46,0.38,97,0.84,1142,7.83,1141.16,6.99
"1858","3","4","216","","19","F","3947",40,0.37,50,0.67,710,4.73,709.33,4.06
"1859","3","4","42E","","18","F","3946",45,0.42,63,0.82,1175,8.74,1174.18,7.92
"1862","3","4","216","","15","F","3943",26,0.44,23,0.57,492,3.11,491.43,2.54
"1863","3","4","216","","15","G","3957",21,0.26,48,0.65,452,2.51,451.35,1.86
"1864","3","4","271","","16","G","3958",43,0.39,75,0.68,1157,9.74,1156.32,9.06
"1867","3","4","42E","","19","G","3961",37,0.37,75,0.81,1103,7.82,1102.19,7.01
"1868","3","4","8L","","20","G","3962",28,0.22,49,0.62,1021,6.52,1020.38,5.9
"1869","3","4","271","","21","G","3963",38,0.36,71,0.93,1206,7.69,1205.07,6.76
"1872","3","4","216","","24","H","3980",26,0.26,26,0.86,320,1.7,319.14,0.84
"1875","3","4","271","","21","H","3977",40,0.34,90,0.75,1164,8.02,1163.25,7.27
"1876","3","4","8L","","20","H","3976",27,0.28,54,0.75,290,6.07,289.25,5.32
"1877","3","4","42E","","19","H","3975",26,0.39,51,0.7,1085,6.6,1084.3,5.9
"1878","3","4","42E","","18","H","3974",50,0.47,54,0.76,1094,7.34,1093.24,6.58
"1879","3","4","8L","","17","H","3973",29,0.3,46,0.49,946,5.9,945.51,5.41
"1880","3","4","271","","16","H","3972",40,0.34,59,0.73,1005,6.08,1004.27,5.35
"1881","3","4","216","","15","H","3971",24,0.23,52,0.6,1044,7.12,1043.4,6.52
"1883","3","4","8L","","16","I","3987",27,0.3,50,0.61,1251,11.44,1250.39,10.83
"1885","3","4","42E","","18","I","3989",40,0.45,61,0.72,1153,8.65,1152.28,7.93
"1888","3","4","271","","21","I","3992",36,0.4,62,0.81,1160,7.6,1159.19,6.79
"1889","3","4","8L","","22","I","3993",58,0.58,59,0.83,724,5.1,723.17,4.27
"1890","3","4","216","","23","I","3994",39,0.38,78,0.83,1211,8.96,1210.17,8.13
"1893","3","4","216","","23","J","4009",40,0.37,40,0.68,1236,8.36,1235.32,7.68
"1894","3","4","8L","","22","J","4008",55,0.57,56,0.8,1112,7.85,1111.2,7.05
"1895","3","4","271","","21","J","4007",35,0.28,60,0.79,1142,6.7,1141.21,5.91
"1896","3","4","271","","20","J","4006",44,0.37,81,0.74,1145,8.07,1144.26,7.33
"1898","3","4","216","","18","J","4004",19,0.22,45,0.66,806,5.2,805.34,4.54
"1900","3","4","8L","","16","J","4002",21,0.25,36,0.53,342,1.9,341.47,1.37
"1901","3","4","271","","15","J","4001",48,0.41,100,0.99,966,7.38,965.01,6.39
"1903","3","4","42E","","16","K","4017",25,0.28,66,0.65,1053,8.35,1052.35,7.7
"1904","3","4","42E","","17","K","4018",40,0.42,75,0.87,1192,9.3,1191.13,8.43
"1905","3","4","216","","18","K","4019",34,0.3,34,0.67,653,4.86,652.33,4.19
"1907","3","4","8L","","20","K","4021",25,0.25,33,0.42,628,3.65,627.58,3.23
"1908","3","4","42E","","21","K","4022",38,0.37,63,0.58,1075,6.3,1074.42,5.72
"1910","3","4","216","","23","K","4024",38,0.37,70,0.83,1181,8.5,1180.17,7.67
"1912","3","4","216","","24","L","4040",46,0.5,50,0.7,696,4.9,695.3,4.2
"1913","3","4","216","","23","L","4039",26,0.25,42,0.57,1083,7.2,1082.43,6.63
"1914","3","4","42E","","22","L","4038",32,0.34,58,0.6,1150,9.11,1149.4,8.51
"1915","3","4","42E","","21","L","4037",52,0.48,58,0.7,1147,6.95,1146.3,6.25
"1917","3","4","216","","19","L","4035",30,0.32,59,0.73,1214,9.05,1213.27,8.32
"1918","3","4","42E","","18","L","4034",42,0.46,48,0.65,1070,7.02,1069.35,6.37
"1919","3","4","42E","","17","L","4033",48,0.42,78,0.68,1110,8.7,1109.32,8.02
"1922","3","4","259","","15","M","4046",25,0.32,58,0.78,610,4.09,609.22,3.31
"1924","3","4","42E","","17","M","4048",24,0.24,52,0.54,1137,8.1,1136.46,7.56
"1926","3","4","216","","19","M","4050",26,0.31,26,0.59,684,4,683.41,3.41
"1929","3","4","216","","22","M","4053",23,0.29,23,0.47,1058,6.72,1057.53,6.25
"1933","3","4","8L","","21","N","4066",28,0.44,28,0.69,1166,7.65,1165.31,6.96
"1935","3","4","216","","19","N","4064",29,0.31,50,0.6,1214,8.79,1213.4,8.19
"1937","3","4","42E","","17","N","4062",48,0.42,79,0.75,1214,10.89,1213.25,10.14
"1939","3","4","259","","15","N","4060",25,0.31,47,0.71,522,3.25,521.29,2.54
"1941","3","4","216","","16","O","4075",44,0.41,76,0.83,1143,9.3,1142.17,8.47
"1944","3","4","216","","19","O","4078",30,0.29,64,0.74,1193,7.48,1192.26,6.74
"1945","3","4","271","","20","O","4079",46,0.39,82,0.8,1185,7.9,1184.2,7.1
"1946","3","4","271","","21","O","4080",28,0.28,55,0.94,1194,9,1193.06,8.06
"1948","3","4","8L","","23","O","4082",38,0.3,51,0.56,1211,9.43,1210.44,8.87
"1949","3","4","8L","","23","P","4096",55,0.49,59,0.63,1142,8.87,1141.37,8.24
"1951","3","4","271","","21","P","4094",38,0.35,65,0.94,1170,7.04,1169.06,6.1
"1952","3","4","271","","20","P","4093",25,0.27,54,0.61,1087,6.59,1086.39,5.98
"1953","3","4","216","","19","P","4092",28,0.34,57,0.69,1114,6.81,1113.31,6.12
"1956","3","4","216","","16","P","4089",37,0.35,74,0.8,1274,9.05,1273.2,8.25
"1957","3","4","259","","15","P","4088",21,0.24,34,0.57,876,6.12,875.43,5.55
"1960","3","4","271","","17","Q","4104",41,0.32,72,0.73,1203,8.39,1202.27,7.66
"1964","3","4","271","","21","Q","4108",40,0.35,74,0.77,1052,8.2,1051.23,7.43
"1965","3","4","42E","","22","Q","4109",38,0.36,67,0.72,1122,8,1121.28,7.28
"1967","3","4","42E","","22","R","4123",22,0.34,63,0.85,1144,6.15,1143.15,5.3
"1968","3","4","271","","21","R","4122",50,0.4,80,0.83,1171,7.9,1170.17,7.07
"1972","3","4","271","","17","R","4118",47,0.35,73,0.68,1227,9.52,1226.32,8.84
"1977","3","4","216","","17","S","4131",32,0.35,48,0.69,840,4.85,839.31,4.16
"1980","3","4","216","","20","S","4134",30,0.26,72,0.87,1289,8.17,1288.13,7.3
"1981","3","4","271","","21","S","4135",50,0.4,81,0.85,1036,6,1035.15,5.15
"1982","3","4","271","","22","S","4136",32,0.36,65,0.85,1130,6.8,1129.15,5.95
"1983","3","4","216","","20","T","4147",21,0.21,48,0.59,1030,7.4,1029.41,6.81
"1986","3","4","216","","17","T","4144",21,0.27,55,0.73,1000,6.19,999.27,5.46
"1988","3","4","42E","","15","T","4142",27,0.27,64,0.82,1137,6.85,1136.18,6.03
"1991","3","4","216","","17","U","4156",18,0.33,34,0.62,901,5.4,900.38,4.78
